"warehouse_id","name","address_line1","address_line2","city","state","postal_code","country","latitude","longitude","status","created_at"
WH-001,Mumbai Central Warehouse,"45 Warehouse Road",,Mumbai,Maharashtra,"400002",India,,,active,"2025-08-27 10:47:01"
WH001,Main Warehouse,"123 Storage Lane",,Mumbai,Maharashtra,"400001",India,,,ACTIVE,"2025-09-03 11:59:49"
WH1,Main Warehouse,"123 Main St",,Delhi,Delhi,"110001",India,,,active,"2025-10-28 22:11:09"
WH100001,Khermahal,Khermahal,"",Dimapur,Nāgāland,"797112",India,123123.0,123213.0,A,"2025-07-30 12:04:10"
WH100002,test12,test,"",Dimapur,Nāgāland,"797112",India,123.0,23321.0,A,"2025-07-30 12:04:35"
WH100003,asd,asd,asd,asd,asd,asd,asdas,123.0,321.0,A,"2025-07-30 12:07:04"
WH100004,Khermahal12,"12312","12","123","321","111",India,12.0,55.0,A,"2025-07-30 12:07:57"
WH100005,Duncan12,Duncan Bosti,"",Dimapur,Nāgāland,"797112",India,321.0,34.0,A,"2025-07-30 12:15:14"
WH100006,Main Warehouse,"123 Industrial Road",Building 5,New York,NY,"10001",USA,40.7128,-74.006,ACTIVE,"2025-08-12 01:28:17"
WH100007,Second WH,Khermahal Oppposite to Little Kingdom School,"Inside Residents Welfare Society, Chattarpur",Dimapur,Nāgāland,"797112",India,12.0,12.0,ACTIVE,"2025-08-12 21:35:00"
